plant_v,LDR,PH_value,VOC,Leaf_Temperature,Ambient_temperature,Nitrogen_N,phosphorus_P,potassium_K,Soil_Moisture,Scenario,Class
1.69,Bright,5.2,10 ppm,33.9C,33.0C,29,17,96,51,Normal monitoring,Nutrient Deficiency
1.6,Dim,6.2,12 ppm,36.9C,34.1C,76,49,192,60,Normal monitoring,Healthy
1.64,Bright,5.6,21 ppm,22.1C,15.7C,35,27,128,12,Normal monitoring,Water Stress
1.65,Bright,6.0,5 ppm,19.1C,16.6C,76,45,212,63,Normal monitoring,Healthy
1.7,Bright,5.1,16 ppm,27.6C,26.3C,26,12,91,52,Normal monitoring,Nutrient Deficiency
1.63,Bright,5.9,13 ppm,25.9C,25.8C,78,39,202,67,Normal monitoring,Healthy
1.66,Dim,6.3,8 ppm,16.3C,17.3C,89,48,193,65,Normal monitoring,Healthy
1.68,Bright,5.1,17 ppm,35.0C,32.2C,33,12,84,61,Normal monitoring,Nutrient Deficiency
1.62,Bright,6.2,5 ppm,29.6C,31.5C,86,47,214,55,Normal monitoring,Healthy
1.68,Bright,4.9,18 ppm,38.7C,35.9C,42,17,110,61,Normal monitoring,Nutrient Deficiency
1.6,Bright,5.8,18 ppm,20.7C,13.6C,40,25,100,20,Normal monitoring,Water Stress
1.62,Bright,4.8,14 ppm,36.6C,32.9C,33,18,113,58,Normal monitoring,Nutrient Deficiency
1.68,Dim,3.7,52 ppm,42.8C,36.1C,52,28,178,67,Viral infection,Disease
1.68,Dim,5.5,16 ppm,43.5C,36.6C,39,21,120,15,Normal monitoring,Water Stress
1.66,Dark,6.0,9 ppm,15.7C,15.0C,78,35,202,56,Normal monitoring,Healthy
1.69,Bright,6.1,13 ppm,33.8C,34.6C,86,49,195,64,Normal monitoring,Healthy
1.67,Dim,4.0,39 ppm,40.9C,34.9C,67,37,131,76,Viral infection,Disease
1.65,Bright,4.9,13 ppm,28.8C,25.4C,27,12,89,61,Normal monitoring,Nutrient Deficiency
1.67,Bright,3.9,48 ppm,38.6C,31.3C,74,30,154,78,Pest infection,Disease
1.68,Bright,3.9,57 ppm,39.0C,32.7C,65,29,140,68,Viral infection,Disease
1.69,Dim,5.9,20 ppm,43.3C,37.5C,36,24,107,11,Normal monitoring,Water Stress
1.68,Bright,4.1,44 ppm,19.5C,13.1C,75,34,196,80,Fungal infection,Disease
1.59,Bright,6.4,12 ppm,33.8C,34.4C,82,49,191,66,Normal monitoring,Healthy
1.63,Bright,5.7,21 ppm,31.5C,26.4C,38,27,113,29,Normal monitoring,Water Stress
1.64,Bright,5.9,9 ppm,31.8C,32.9C,89,36,209,61,Normal monitoring,Healthy
1.69,Dim,5.1,19 ppm,39.1C,35.9C,29,14,84,58,Normal monitoring,Nutrient Deficiency
1.58,Dark,3.9,58 ppm,39.8C,33.1C,78,32,152,72,Pest infection,Disease
1.66,Bright,5.3,15 ppm,21.6C,19.4C,24,11,111,52,Normal monitoring,Nutrient Deficiency
1.65,Bright,4.7,14 ppm,17.6C,15.7C,26,15,90,52,Normal monitoring,Nutrient Deficiency
1.62,Dim,4.3,52 ppm,48.0C,38.2C,74,30,173,70,Fungal infection,Disease
1.67,Dark,5.7,19 ppm,41.4C,33.6C,45,25,95,26,Normal monitoring,Water Stress
1.68,Bright,5.3,18 ppm,31.1C,30.3C,43,13,113,56,Normal monitoring,Nutrient Deficiency
1.69,Bright,5.9,15 ppm,24.8C,19.1C,36,15,124,21,Normal monitoring,Water Stress
1.66,Bright,3.4,52 ppm,32.1C,26.7C,78,36,153,67,Bacterial infection,Disease
1.67,Dim,5.6,16 ppm,40.2C,34.2C,46,15,112,10,Normal monitoring,Water Stress
1.66,Bright,4.5,18 ppm,36.2C,32.5C,28,12,105,61,Normal monitoring,Nutrient Deficiency
1.62,Bright,4.2,58 ppm,20.5C,15.7C,62,26,155,75,Bacterial infection,Disease
1.63,Bright,4.9,19 ppm,35.1C,31.6C,46,18,84,57,Normal monitoring,Nutrient Deficiency
1.63,Dim,4.4,57 ppm,35.6C,31.8C,57,32,167,66,Viral infection,Disease
1.64,Dim,3.9,36 ppm,19.2C,14.6C,50,27,165,65,Viral infection,Disease
1.66,Bright,5.6,24 ppm,19.0C,13.5C,45,16,97,20,Normal monitoring,Water Stress
1.69,Dim,6.5,8 ppm,19.5C,17.8C,76,48,204,61,Normal monitoring,Healthy
1.65,Bright,6.1,14 ppm,32.5C,31.0C,79,35,206,57,Normal monitoring,Healthy
1.67,Dim,6.0,13 ppm,33.1C,33.8C,84,40,210,65,Normal monitoring,Healthy
1.61,Bright,4.5,14 ppm,36.8C,34.8C,41,16,99,62,Normal monitoring,Nutrient Deficiency
1.66,Bright,5.0,16 ppm,26.2C,23.7C,43,15,104,63,Normal monitoring,Nutrient Deficiency
1.66,Dim,5.1,17 ppm,38.7C,35.3C,35,15,84,51,Normal monitoring,Nutrient Deficiency
1.63,Dim,5.9,16 ppm,34.8C,27.2C,44,26,107,23,Normal monitoring,Water Stress
1.64,Bright,4.0,32 ppm,34.6C,25.0C,68,31,170,67,Pest infection,Disease
1.61,Dim,6.2,7 ppm,34.5C,31.6C,78,40,202,58,Normal monitoring,Healthy
1.61,Bright,4.0,48 ppm,46.5C,37.8C,70,38,187,69,Pest infection,Disease
1.64,Bright,5.2,10 ppm,18.1C,16.8C,42,19,108,53,Normal monitoring,Nutrient Deficiency
1.67,Dim,3.9,53 ppm,36.5C,32.3C,52,36,134,73,Viral infection,Disease
1.63,Dim,5.2,18 ppm,31.2C,28.6C,22,17,94,60,Normal monitoring,Nutrient Deficiency
1.63,Bright,5.4,17 ppm,31.8C,31.3C,36,14,94,53,Normal monitoring,Nutrient Deficiency
1.7,Dim,6.5,14 ppm,35.6C,35.3C,81,43,200,66,Normal monitoring,Healthy
1.67,Bright,4.1,56 ppm,34.6C,28.8C,56,39,167,75,Viral infection,Disease
1.68,Bright,5.6,18 ppm,39.5C,32.1C,37,16,95,22,Normal monitoring,Water Stress
1.6,Bright,4.8,11 ppm,33.4C,30.1C,25,18,95,52,Normal monitoring,Nutrient Deficiency
1.59,Bright,5.9,24 ppm,23.7C,18.5C,38,22,114,16,Normal monitoring,Water Stress
1.65,Bright,6.1,7 ppm,12.5C,10.7C,83,37,204,56,Normal monitoring,Healthy
1.67,Bright,6.3,14 ppm,36.9C,38.5C,82,39,197,69,Normal monitoring,Healthy
1.63,Dark,4.4,35 ppm,27.8C,22.1C,59,30,168,73,Viral infection,Disease
1.66,Bright,3.8,40 ppm,35.6C,31.4C,54,31,139,79,Viral infection,Disease
1.67,Bright,3.6,32 ppm,28.8C,19.3C,64,30,176,70,Pest infection,Disease
1.65,Bright,4.1,36 ppm,35.1C,28.8C,68,35,186,72,Pest infection,Disease
1.65,Bright,5.9,20 ppm,26.5C,19.5C,45,15,125,19,Normal monitoring,Water Stress
1.68,Bright,5.9,9 ppm,23.7C,23.2C,77,43,195,63,Normal monitoring,Healthy
1.65,Bright,5.7,20 ppm,39.6C,32.0C,37,24,123,12,Normal monitoring,Water Stress
1.63,Bright,5.0,15 ppm,41.4C,39.1C,23,11,88,55,Normal monitoring,Nutrient Deficiency
1.73,Bright,3.7,48 ppm,30.4C,24.8C,76,30,185,68,Bacterial infection,Disease
1.66,Dark,4.3,35 ppm,24.1C,20.7C,65,31,175,75,Viral infection,Disease
1.65,Bright,6.2,8 ppm,37.5C,35.3C,87,38,211,68,Normal monitoring,Healthy
1.64,Bright,4.4,30 ppm,34.5C,27.3C,59,35,144,70,Viral infection,Disease
1.62,Bright,5.9,12 ppm,33.4C,30.9C,76,45,202,61,Normal monitoring,Healthy
1.67,Bright,3.6,59 ppm,24.5C,17.5C,76,26,161,69,Bacterial infection,Disease
1.62,Bright,5.9,19 ppm,44.8C,39.5C,45,26,125,19,Normal monitoring,Water Stress
1.6,Dark,6.0,18 ppm,37.6C,31.8C,37,16,128,18,Normal monitoring,Water Stress
1.66,Bright,5.7,15 ppm,19.3C,14.3C,47,28,105,11,Normal monitoring,Water Stress
1.69,Dim,5.9,11 ppm,35.8C,33.2C,87,41,203,67,Normal monitoring,Healthy
1.6,Dark,3.7,51 ppm,38.7C,33.2C,61,39,156,78,Viral infection,Disease
1.64,Dark,5.2,16 ppm,16.9C,16.4C,39,11,108,63,Normal monitoring,Nutrient Deficiency
1.64,Dim,6.4,12 ppm,34.7C,34.8C,77,48,203,69,Normal monitoring,Healthy
1.65,Dim,4.9,16 ppm,39.8C,36.4C,26,19,103,60,Normal monitoring,Nutrient Deficiency
1.64,Dark,4.6,17 ppm,18.0C,17.5C,39,17,101,58,Normal monitoring,Nutrient Deficiency
1.69,Dim,6.0,16 ppm,27.5C,22.3C,44,22,98,18,Normal monitoring,Water Stress
1.63,Bright,3.8,56 ppm,39.2C,29.2C,62,34,169,66,Bacterial infection,Disease
1.67,Bright,3.8,53 ppm,26.5C,18.2C,61,28,139,76,Viral infection,Disease
1.67,Dim,3.9,46 ppm,38.5C,31.6C,72,30,197,66,Bacterial infection,Disease
1.71,Bright,5.9,22 ppm,18.9C,13.7C,44,25,95,13,Normal monitoring,Water Stress
1.71,Dark,6.3,11 ppm,36.3C,34.1C,79,40,192,59,Normal monitoring,Healthy
1.68,Bright,3.7,42 ppm,40.1C,31.6C,59,26,176,68,Viral infection,Disease
1.65,Bright,3.5,55 ppm,24.4C,16.5C,77,38,193,78,Pest infection,Disease
1.63,Bright,5.4,12 ppm,38.7C,35.4C,33,17,98,56,Normal monitoring,Nutrient Deficiency
1.72,Bright,5.0,10 ppm,38.7C,35.4C,20,19,102,63,Normal monitoring,Nutrient Deficiency
1.69,Bright,4.8,19 ppm,27.3C,27.0C,31,17,87,52,Normal monitoring,Nutrient Deficiency
1.64,Dark,6.2,13 ppm,32.9C,30.5C,81,41,193,65,Normal monitoring,Healthy
1.66,Dim,4.3,43 ppm,41.1C,32.7C,50,36,140,65,Viral infection,Disease
1.65,Bright,5.7,22 ppm,41.7C,34.2C,42,22,120,24,Normal monitoring,Water Stress
1.62,Bright,5.4,10 ppm,34.9C,33.6C,22,14,95,50,Normal monitoring,Nutrient Deficiency
1.65,Bright,6.5,11 ppm,37.5C,38.2C,78,35,197,67,Normal monitoring,Healthy
1.64,Dark,5.8,18 ppm,36.0C,29.4C,38,20,111,22,Normal monitoring,Water Stress
1.63,Bright,4.0,40 ppm,45.6C,39.5C,68,35,152,78,Bacterial infection,Disease
1.64,Bright,4.4,45 ppm,42.7C,34.4C,73,35,180,72,Pest infection,Disease
1.7,Bright,6.2,11 ppm,34.0C,34.9C,83,35,190,69,Normal monitoring,Healthy
1.64,Dim,4.9,16 ppm,38.5C,34.7C,40,17,96,63,Normal monitoring,Nutrient Deficiency
1.62,Dim,5.3,16 ppm,29.6C,29.4C,33,16,80,50,Normal monitoring,Nutrient Deficiency
1.63,Dim,3.7,56 ppm,23.7C,16.2C,77,33,153,73,Pest infection,Disease
1.71,Bright,4.1,47 ppm,33.5C,27.3C,69,38,149,78,Viral infection,Disease
1.66,Dim,5.4,11 ppm,25.1C,21.2C,36,18,106,59,Normal monitoring,Nutrient Deficiency
1.69,Bright,5.3,18 ppm,37.2C,35.0C,27,18,96,58,Normal monitoring,Nutrient Deficiency
1.68,Bright,3.7,48 ppm,16.2C,12.5C,50,25,164,74,Viral infection,Disease
1.71,Dim,3.6,39 ppm,40.2C,31.2C,71,31,175,75,Pest infection,Disease
1.64,Bright,5.7,19 ppm,43.3C,35.8C,45,22,95,29,Normal monitoring,Water Stress
1.64,Dim,4.3,30 ppm,23.4C,18.8C,62,35,146,79,Viral infection,Disease
1.66,Dim,4.7,10 ppm,29.8C,28.4C,39,17,80,57,Normal monitoring,Nutrient Deficiency
1.65,Dim,4.6,19 ppm,28.9C,28.1C,26,12,86,54,Normal monitoring,Nutrient Deficiency
1.62,Bright,4.7,12 ppm,35.0C,33.4C,31,11,82,62,Normal monitoring,Nutrient Deficiency
1.58,Dim,5.9,8 ppm,29.5C,28.4C,87,48,196,64,Normal monitoring,Healthy
1.66,Bright,4.6,14 ppm,20.0C,18.6C,26,12,99,56,Normal monitoring,Nutrient Deficiency
1.61,Bright,5.7,15 ppm,37.1C,31.2C,42,19,122,16,Normal monitoring,Water Stress
1.57,Dark,4.1,41 ppm,24.5C,20.8C,67,31,190,66,Bacterial infection,Disease
1.67,Bright,4.1,51 ppm,21.1C,15.5C,65,38,187,78,Pest infection,Disease
1.65,Bright,4.4,34 ppm,38.7C,32.7C,53,25,135,72,Viral infection,Disease
1.67,Dark,4.7,19 ppm,38.6C,35.2C,35,13,85,59,Normal monitoring,Nutrient Deficiency
1.67,Dim,3.2,59 ppm,42.2C,32.8C,60,38,175,69,Bacterial infection,Disease
1.7,Bright,5.4,18 ppm,28.3C,25.0C,40,14,80,50,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.6,21 ppm,34.0C,26.8C,35,29,114,11,Normal monitoring,Water Stress
1.62,Dim,6.4,14 ppm,29.8C,28.8C,89,46,195,67,Normal monitoring,Healthy
1.65,Bright,4.6,10 ppm,24.4C,22.4C,33,14,102,59,Normal monitoring,Nutrient Deficiency
1.63,Bright,5.7,24 ppm,40.7C,34.7C,35,21,120,21,Normal monitoring,Water Stress
1.62,Bright,6.1,13 ppm,17.7C,18.8C,83,37,193,55,Normal monitoring,Healthy
1.68,Bright,5.8,20 ppm,45.6C,40.3C,46,21,90,20,Normal monitoring,Water Stress
1.66,Dark,3.4,36 ppm,29.4C,19.7C,64,32,179,78,Bacterial infection,Disease
1.66,Bright,5.3,19 ppm,37.9C,35.3C,33,16,84,61,Normal monitoring,Nutrient Deficiency
1.62,Dim,5.8,24 ppm,34.5C,28.3C,40,21,99,16,Normal monitoring,Water Stress
1.67,Dark,5.7,23 ppm,35.0C,28.9C,48,20,106,16,Normal monitoring,Water Stress
1.6,Bright,5.7,21 ppm,26.5C,20.1C,44,16,106,16,Normal monitoring,Water Stress
1.64,Bright,5.6,17 ppm,18.4C,12.7C,37,22,117,17,Normal monitoring,Water Stress
1.67,Dim,6.3,5 ppm,26.0C,25.0C,82,49,200,57,Normal monitoring,Healthy
1.66,Bright,6.0,8 ppm,39.0C,36.7C,85,35,193,69,Normal monitoring,Healthy
1.61,Dim,4.5,49 ppm,36.1C,32.5C,63,35,150,76,Viral infection,Disease
1.64,Bright,3.9,52 ppm,43.5C,36.5C,75,28,190,81,Fungal infection,Disease
1.7,Dim,5.9,17 ppm,21.7C,16.2C,36,25,122,25,Normal monitoring,Water Stress
1.66,Bright,5.2,11 ppm,35.6C,32.0C,29,18,115,53,Normal monitoring,Nutrient Deficiency
1.63,Dark,4.9,15 ppm,24.6C,20.8C,21,18,94,56,Normal monitoring,Nutrient Deficiency
1.57,Bright,6.2,8 ppm,22.8C,22.5C,85,44,214,67,Normal monitoring,Healthy
1.6,Dark,5.7,19 ppm,29.0C,21.4C,39,26,95,29,Normal monitoring,Water Stress
1.7,Bright,5.0,19 ppm,37.0C,33.8C,38,17,114,64,Normal monitoring,Nutrient Deficiency
1.64,Bright,5.9,16 ppm,20.3C,14.9C,39,18,102,22,Normal monitoring,Water Stress
1.64,Dim,5.0,11 ppm,20.5C,19.4C,37,19,100,55,Normal monitoring,Nutrient Deficiency
1.62,Bright,5.6,20 ppm,39.8C,33.8C,39,23,104,12,Normal monitoring,Water Stress
1.62,Bright,4.0,57 ppm,37.7C,27.9C,65,25,178,69,Pest infection,Disease
1.65,Dark,3.8,53 ppm,34.9C,30.0C,64,34,155,66,Bacterial infection,Disease
1.63,Dim,5.0,10 ppm,27.3C,23.7C,36,16,109,64,Normal monitoring,Nutrient Deficiency
1.62,Dark,6.3,10 ppm,15.9C,16.8C,87,38,192,57,Normal monitoring,Healthy
1.63,Bright,5.9,20 ppm,38.6C,30.6C,37,16,113,11,Normal monitoring,Water Stress
1.64,Bright,5.5,17 ppm,38.6C,36.9C,24,15,90,52,Normal monitoring,Nutrient Deficiency
1.65,Dim,3.7,58 ppm,21.5C,15.3C,64,39,178,70,Bacterial infection,Disease
1.64,Bright,4.7,11 ppm,32.5C,29.9C,27,14,94,52,Normal monitoring,Nutrient Deficiency
1.63,Dim,4.3,43 ppm,33.0C,29.7C,54,28,167,66,Viral infection,Disease
1.7,Bright,4.2,32 ppm,33.2C,28.2C,77,31,150,79,Bacterial infection,Disease
1.71,Bright,5.9,11 ppm,35.0C,35.7C,87,44,210,59,Normal monitoring,Healthy
1.64,Dim,5.9,19 ppm,40.2C,35.0C,36,26,123,25,Normal monitoring,Water Stress
1.69,Bright,6.0,17 ppm,31.9C,24.4C,49,21,96,15,Normal monitoring,Water Stress
1.58,Bright,6.5,14 ppm,15.2C,14.8C,84,45,197,57,Normal monitoring,Healthy
1.63,Bright,4.2,58 ppm,38.6C,34.8C,73,39,186,69,Pest infection,Disease
1.66,Bright,6.2,13 ppm,27.5C,25.4C,77,46,208,60,Normal monitoring,Healthy
1.64,Dim,5.5,10 ppm,23.7C,23.2C,41,14,106,59,Normal monitoring,Nutrient Deficiency
1.63,Bright,4.1,36 ppm,36.8C,32.0C,64,39,164,74,Viral infection,Disease
1.71,Dark,6.4,7 ppm,35.4C,33.8C,75,39,209,67,Normal monitoring,Healthy
1.71,Bright,4.9,18 ppm,36.7C,36.0C,25,11,89,52,Normal monitoring,Nutrient Deficiency
1.65,Dim,6.1,8 ppm,25.0C,23.7C,88,42,216,61,Normal monitoring,Healthy
1.65,Dim,5.9,12 ppm,31.0C,31.2C,84,37,197,68,Normal monitoring,Healthy
1.64,Bright,5.4,12 ppm,22.7C,18.8C,33,18,92,60,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.0,51 ppm,30.0C,26.5C,63,27,156,67,Viral infection,Disease
1.66,Dim,5.8,15 ppm,29.9C,23.2C,48,21,107,20,Normal monitoring,Water Stress
1.65,Dim,6.1,11 ppm,35.0C,34.6C,76,45,202,59,Normal monitoring,Healthy
1.6,Bright,4.0,31 ppm,41.5C,36.5C,55,33,146,67,Viral infection,Disease
1.6,Bright,5.4,17 ppm,18.1C,16.9C,36,14,106,60,Normal monitoring,Nutrient Deficiency
1.64,Bright,6.5,6 ppm,32.8C,32.4C,83,47,195,60,Normal monitoring,Healthy
1.66,Bright,5.6,23 ppm,23.5C,15.8C,43,21,96,21,Normal monitoring,Water Stress
1.69,Bright,6.0,11 ppm,23.8C,21.3C,87,40,200,63,Normal monitoring,Healthy
1.66,Bright,6.0,17 ppm,34.5C,27.0C,42,21,119,17,Normal monitoring,Water Stress
1.61,Dark,5.7,23 ppm,37.7C,29.7C,49,25,99,29,Normal monitoring,Water Stress
1.62,Bright,6.2,12 ppm,24.5C,21.7C,78,48,205,69,Normal monitoring,Healthy
1.65,Dim,6.2,14 ppm,32.3C,32.7C,83,36,205,57,Normal monitoring,Healthy
1.65,Bright,5.8,12 ppm,37.0C,37.8C,81,46,207,61,Normal monitoring,Healthy
1.65,Bright,4.2,47 ppm,35.5C,30.5C,73,26,168,70,Pest infection,Disease
1.61,Bright,5.7,22 ppm,34.3C,27.9C,41,29,114,15,Normal monitoring,Water Stress
1.67,Bright,6.0,15 ppm,37.3C,29.5C,46,18,117,22,Normal monitoring,Water Stress
1.66,Bright,5.7,21 ppm,38.0C,31.4C,38,27,126,16,Normal monitoring,Water Stress
1.61,Bright,4.7,15 ppm,28.2C,25.5C,28,15,107,52,Normal monitoring,Nutrient Deficiency
1.71,Bright,6.0,6 ppm,16.2C,14.8C,80,35,207,60,Normal monitoring,Healthy
1.68,Dark,3.9,59 ppm,26.7C,18.6C,70,28,188,76,Bacterial infection,Disease
1.67,Dark,5.6,19 ppm,30.6C,23.3C,48,21,117,23,Normal monitoring,Water Stress
1.61,Dim,6.2,9 ppm,29.9C,28.4C,86,43,200,59,Normal monitoring,Healthy
1.73,Dim,6.2,11 ppm,21.6C,21.4C,89,40,208,61,Normal monitoring,Healthy
1.62,Bright,4.7,10 ppm,17.6C,14.9C,36,10,92,56,Normal monitoring,Nutrient Deficiency
1.64,Bright,5.7,15 ppm,28.9C,21.0C,48,17,103,21,Normal monitoring,Water Stress
1.62,Bright,4.6,13 ppm,20.0C,18.2C,29,16,93,63,Normal monitoring,Nutrient Deficiency
1.63,Dim,4.2,49 ppm,39.7C,33.8C,68,33,152,79,Viral infection,Disease
1.62,Bright,6.4,9 ppm,33.5C,33.4C,78,46,216,64,Normal monitoring,Healthy
1.62,Bright,3.8,39 ppm,21.3C,18.2C,71,39,155,83,Fungal infection,Disease
1.63,Bright,4.4,51 ppm,38.4C,30.6C,61,37,193,84,Fungal infection,Disease
1.64,Dim,5.7,23 ppm,20.7C,13.0C,43,24,125,29,Normal monitoring,Water Stress
1.65,Bright,5.6,22 ppm,39.8C,34.0C,47,24,106,20,Normal monitoring,Water Stress
1.67,Dim,5.4,10 ppm,22.8C,21.4C,34,13,100,50,Normal monitoring,Nutrient Deficiency
1.61,Bright,5.8,19 ppm,40.5C,35.1C,48,23,121,19,Normal monitoring,Water Stress
1.67,Bright,3.8,47 ppm,30.8C,27.0C,62,38,151,77,Pest infection,Disease
1.65,Bright,4.2,43 ppm,33.0C,29.7C,78,36,170,67,Pest infection,Disease
1.64,Bright,5.9,16 ppm,37.0C,29.2C,49,29,114,28,Normal monitoring,Water Stress
1.61,Bright,6.4,10 ppm,12.8C,10.6C,78,42,206,67,Normal monitoring,Healthy
1.63,Bright,5.9,18 ppm,36.9C,31.3C,46,19,103,25,Normal monitoring,Water Stress
1.63,Dark,4.5,40 ppm,32.7C,25.1C,65,39,166,69,Pest infection,Disease
1.66,Bright,5.3,17 ppm,28.1C,24.3C,42,12,90,64,Normal monitoring,Nutrient Deficiency
1.59,Dim,3.9,61 ppm,36.8C,30.0C,68,35,151,82,Fungal infection,Disease
1.66,Bright,5.3,15 ppm,27.7C,23.8C,49,19,117,53,Normal monitoring,Nutrient Deficiency
1.65,Bright,5.7,15 ppm,43.5C,36.5C,48,21,101,21,Normal monitoring,Water Stress
1.65,Bright,5.3,13 ppm,16.9C,15.5C,42,11,111,51,Normal monitoring,Nutrient Deficiency
1.64,Bright,6.0,6 ppm,30.3C,31.0C,78,44,197,64,Normal monitoring,Healthy
1.61,Bright,6.1,10 ppm,29.9C,27.9C,82,35,198,65,Normal monitoring,Healthy
1.68,Bright,5.0,15 ppm,29.5C,28.6C,20,18,109,52,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.0,61 ppm,39.0C,34.0C,73,35,195,82,Fungal infection,Disease
1.64,Bright,6.0,5 ppm,33.0C,33.4C,77,38,203,57,Normal monitoring,Healthy
1.67,Dim,5.8,22 ppm,21.9C,16.7C,42,26,120,22,Normal monitoring,Water Stress
1.67,Dim,3.9,44 ppm,30.8C,23.7C,70,35,169,75,Pest infection,Disease
1.63,Bright,5.3,17 ppm,19.3C,16.9C,44,13,90,57,Normal monitoring,Nutrient Deficiency
1.61,Bright,3.6,46 ppm,34.7C,31.6C,66,35,186,76,Bacterial infection,Disease
1.67,Bright,5.6,23 ppm,39.5C,33.7C,44,18,97,20,Normal monitoring,Water Stress
1.62,Dim,6.5,7 ppm,31.1C,29.1C,85,46,218,63,Normal monitoring,Healthy
1.67,Bright,5.8,8 ppm,22.5C,20.7C,82,47,200,63,Normal monitoring,Healthy
1.67,Bright,6.2,9 ppm,31.5C,31.4C,86,47,191,57,Normal monitoring,Healthy
1.63,Bright,6.5,12 ppm,33.9C,33.7C,75,42,193,59,Normal monitoring,Healthy
1.7,Bright,5.3,17 ppm,29.4C,26.9C,29,13,106,54,Normal monitoring,Nutrient Deficiency
1.63,Bright,3.6,37 ppm,28.8C,24.9C,59,31,134,66,Viral infection,Disease
1.59,Dim,5.9,18 ppm,37.7C,31.7C,43,29,98,28,Normal monitoring,Water Stress
1.65,Dim,5.2,14 ppm,36.2C,32.6C,45,13,105,50,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.6,16 ppm,37.4C,30.9C,47,20,120,21,Normal monitoring,Water Stress
1.67,Bright,5.8,23 ppm,42.2C,35.1C,38,22,120,27,Normal monitoring,Water Stress
1.65,Dim,5.6,19 ppm,32.3C,24.4C,42,28,113,25,Normal monitoring,Water Stress
1.68,Dim,5.6,19 ppm,40.2C,33.4C,46,15,113,29,Normal monitoring,Water Stress
1.62,Dark,3.3,38 ppm,40.2C,35.1C,78,28,162,79,Bacterial infection,Disease
1.69,Bright,4.6,17 ppm,35.4C,34.2C,24,15,116,53,Normal monitoring,Nutrient Deficiency
1.62,Dim,3.6,49 ppm,21.6C,14.7C,75,30,163,74,Pest infection,Disease
1.67,Bright,5.1,12 ppm,21.7C,21.6C,31,15,93,52,Normal monitoring,Nutrient Deficiency
1.7,Bright,5.3,13 ppm,18.0C,17.7C,38,18,101,60,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.3,42 ppm,36.5C,32.1C,62,25,154,70,Fungal infection,Disease
1.66,Dim,4.7,16 ppm,16.5C,13.4C,22,17,85,50,Normal monitoring,Nutrient Deficiency
1.63,Bright,3.9,33 ppm,32.6C,28.0C,72,34,187,75,Pest infection,Disease
1.63,Dim,5.0,11 ppm,32.9C,31.8C,37,14,90,64,Normal monitoring,Nutrient Deficiency
1.67,Dark,4.7,11 ppm,24.1C,21.0C,38,19,85,51,Normal monitoring,Nutrient Deficiency
1.64,Dim,4.6,15 ppm,20.0C,16.4C,28,18,83,54,Normal monitoring,Nutrient Deficiency
1.66,Bright,5.6,15 ppm,26.1C,18.6C,46,27,91,19,Normal monitoring,Water Stress
1.65,Bright,5.9,14 ppm,18.4C,17.3C,86,40,198,55,Normal monitoring,Healthy
1.65,Bright,6.5,14 ppm,17.1C,17.0C,88,43,216,58,Normal monitoring,Healthy
1.67,Bright,4.8,13 ppm,33.5C,31.8C,23,17,113,57,Normal monitoring,Nutrient Deficiency
1.66,Dark,4.2,35 ppm,20.7C,16.5C,68,27,150,67,Viral infection,Disease
1.65,Dim,5.9,6 ppm,35.2C,34.6C,86,49,212,58,Normal monitoring,Healthy
1.66,Bright,4.1,31 ppm,44.2C,37.9C,73,28,180,76,Pest infection,Disease
1.62,Dark,4.2,33 ppm,17.7C,14.5C,73,31,155,69,Pest infection,Disease
1.7,Bright,4.7,11 ppm,36.1C,32.3C,34,16,101,60,Normal monitoring,Nutrient Deficiency
1.68,Dim,6.2,8 ppm,38.9C,36.6C,85,41,190,68,Normal monitoring,Healthy
1.66,Bright,5.8,21 ppm,30.0C,23.4C,46,23,107,27,Normal monitoring,Water Stress
1.68,Bright,3.4,44 ppm,25.8C,17.2C,68,37,184,74,Bacterial infection,Disease
1.7,Dim,5.9,19 ppm,31.5C,25.3C,39,27,111,12,Normal monitoring,Water Stress
1.61,Bright,6.0,12 ppm,22.4C,19.5C,80,47,213,58,Normal monitoring,Healthy
1.63,Dim,5.9,23 ppm,27.4C,19.7C,35,15,101,15,Normal monitoring,Water Stress
1.71,Dim,4.6,12 ppm,35.1C,32.2C,20,13,105,53,Normal monitoring,Nutrient Deficiency
1.65,Dim,6.0,20 ppm,44.0C,36.9C,39,22,110,27,Normal monitoring,Water Stress
1.65,Bright,6.3,6 ppm,31.2C,30.8C,78,40,207,69,Normal monitoring,Healthy
1.65,Dim,5.5,16 ppm,41.8C,35.6C,36,19,111,21,Normal monitoring,Water Stress
1.67,Bright,5.7,18 ppm,21.8C,16.2C,37,18,129,22,Normal monitoring,Water Stress
1.62,Dark,4.1,57 ppm,34.2C,27.0C,51,38,169,70,Viral infection,Disease
1.69,Dim,5.3,11 ppm,16.3C,16.2C,20,14,82,61,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.8,10 ppm,31.4C,30.5C,26,14,108,64,Normal monitoring,Nutrient Deficiency
1.61,Bright,6.3,12 ppm,27.2C,28.0C,84,43,218,64,Normal monitoring,Healthy
